Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-10-18 09:30:00-04:00,220.72000122070312,221.94960021972656,219.22999572753906,220.24000549316406,17090920,0.0,0.0
2024-10-18 10:30:00-04:00,220.2200927734375,222.27999877929688,220.07000732421875,221.88400268554688,11168016,0.0,0.0
2024-10-18 11:30:00-04:00,221.88999938964844,222.0,220.63999938964844,221.4149932861328,4171515,0.0,0.0
2024-10-18 12:30:00-04:00,221.39999389648438,221.5800018310547,220.85000610351562,220.94500732421875,3759616,0.0,0.0
2024-10-18 13:30:00-04:00,220.94979858398438,221.61000061035156,220.83999633789062,221.35000610351562,2549461,0.0,0.0
2024-10-18 14:30:00-04:00,221.3699951171875,222.17999267578125,221.16070556640625,221.49000549316406,4764149,0.0,0.0
2024-10-18 15:30:00-04:00,221.49000549316406,221.49000549316406,220.44000244140625,220.71499633789062,3639006,0.0,0.0
2024-10-21 09:30:00-04:00,218.89999389648438,220.47999572753906,215.7259979248047,219.4031982421875,19608678,0.0,0.0
2024-10-21 10:30:00-04:00,219.41000366210938,220.0399932861328,217.52999877929688,217.77999877929688,7787934,0.0,0.0
2024-10-21 11:30:00-04:00,217.74000549316406,219.0,217.71670532226562,218.55999755859375,4468187,0.0,0.0
2024-10-21 12:30:00-04:00,218.5749969482422,218.72999572753906,217.85000610351562,218.2100067138672,2753522,0.0,0.0
2024-10-21 13:30:00-04:00,218.2100067138672,218.33999633789062,216.94000244140625,217.5399932861328,3804199,0.0,0.0
2024-10-21 14:30:00-04:00,217.50999450683594,218.11680603027344,217.5,217.86000061035156,3359088,0.0,0.0
2024-10-21 15:30:00-04:00,217.84010314941406,218.97000122070312,217.51010131835938,218.89999389648438,3389574,0.0,0.0
2024-10-22 09:30:00-04:00,217.0635986328125,217.85000610351562,215.83999633789062,216.68389892578125,13147497,0.0,0.0
2024-10-22 10:30:00-04:00,216.68499755859375,217.44000244140625,215.5500030517578,216.27999877929688,8018988,0.0,0.0
2024-10-22 11:30:00-04:00,216.3000030517578,216.42999267578125,215.25999450683594,215.57530212402344,4974738,0.0,0.0
2024-10-22 12:30:00-04:00,215.57000732421875,216.83999633789062,215.5,216.6999969482422,3976804,0.0,0.0
2024-10-22 13:30:00-04:00,216.6840057373047,218.1396026611328,216.39439392089844,217.73199462890625,4668562,0.0,0.0
2024-10-22 14:30:00-04:00,217.73500061035156,217.8800048828125,217.0,217.85499572753906,3186237,0.0,0.0
2024-10-22 15:30:00-04:00,217.85000610351562,218.1999969482422,217.52000427246094,217.91000366210938,2966370,0.0,0.0
2024-10-23 09:30:00-04:00,217.0749969482422,218.72000122070312,215.38999938964844,216.32000732421875,14735216,0.0,0.0
2024-10-23 10:30:00-04:00,216.2801055908203,216.6699981689453,214.6999969482422,214.77200317382812,7468268,0.0,0.0
